磁碟重組程式,磁盤碎片整理程序
登出電腦,註銷計算機
唯讀檔,只讀文件
遠端,遠程
實體記憶體,物理內存
介面卡,適配器
說明與支援,幫助與支持
位元,位
站台,站點
字串,字串符
文件,文檔
檔案,文件
韌體,固件
軟體,軟件
迴圈,循環
介面,接口
行內,內聯
匯入,導入
匯出,導出
硬體,硬件
陣列,數組
資料,數據
程式,程序
視窗,窗口
演算法,算法
指派,賦值
指定,賦值
設值,賦值
電腦,計算機
訊息迴圈,消息環
訊息,消息
原始碼,源碼
全螢幕,全屏
原始檔,源文件
印表機,打印機
基礎類別,基類
二元樹,二叉樹
具象的,實在的
控制元件,控件
衍生類別,派生類
動態繫結,動態綁定
前置宣告,前置聲明
虛擬函式,虛函數
函式,函數
函式物件,函數對象
泛型演算法,通用算法
處理常式,處理函數
識別符號,標識符
記憶體,內存
布林值,布爾值
預設,默許
離線工作,脫機工作
重新整理,刷新
執行,運行
字元,字節
游標,鼠標
晶片,芯片
相容,兼容
伺服器,服務器
全螢幕顯示,全屏顯示
隨選安裝,即需即裝
預覽列印,打印預覽
線上支援,聯機支持
